bar,beat,note,chord,replaced,original_value
1,1,37,G-,True,38
1,2,44,G-,True,50
1,3,40,G-,True,40
1,4,42,G-,True,40
2,1,43,C7,True,42
2,2,41,C7,True,41
2,3,38,C7,True,40
2,4,45,C7,True,42
3,1,37,F,True,37
3,2,40,F,True,41
3,3,38,F,True,42
3,4,41,F,True,41
4,1,41,A-,True,41
4,2,41,A-,True,38
4,3,42,Abj7,True,44
4,4,44,Abj7,True,39
5,1,38,Gj7,True,51
5,2,45,Gj7,True,50
5,3,42,Gj7,True,42
5,4,41,Gj7,True,41
6,1,41,E79b,True,41
6,2,39,E79b,True,37
6,3,45,E79b,True,37
6,4,38,E79b,True,37
7,1,43,A-,True,42
7,2,40,A-,True,38
7,3,40,A-,True,41
7,4,37,A-,True,44
8,1,39,D-,True,45
8,2,39,D-,True,44
8,3,37,D7,True,44
8,4,43,D7,True,38
9,1,37,G-,True,50
9,2,39,G-,True,52
9,3,38,G-,True,41
9,4,41,G-,True,41
10,1,40,C79b,True,43
10,2,42,C79b,True,42
10,3,39,C79b,True,37
10,4,41,C79b,True,42
11,1,41,F,True,42
11,2,42,F,True,41
11,3,43,F,True,40
11,4,40,F,True,38
12,1,44,A-,True,40
12,2,45,A-,True,38
12,3,37,Abj7,True,44
12,4,40,Abj7,True,38
13,1,40,Gj7,True,51
13,2,44,Gj7,True,50
13,3,43,Gj7,True,41
13,4,40,Gj7,True,41
14,1,45,C7,True,40
14,2,44,C7,True,41
14,3,42,C7,True,37
14,4,39,C7,True,37
15,1,41,F,True,44
15,2,41,F,True,44
15,3,41,C,True,38
15,4,39,C,True,50
16,1,43,F,True,52
16,2,42,F,True,41
16,3,37,F,True,40
16,4,44,F,True,44
17,1,43,A-,True,40
17,2,39,A-,True,37
17,3,38,Abj7,True,40
