bar,beat,note,chord,replaced,original_value
1,1,48,F7,False,
1,2,51,F7,False,
1,3,44,C7,False,
1,4,49,C7,True,47
2,1,46,F7,True,47
2,2,51,F7,False,
2,3,51,F7,True,49
2,4,51,F7,False,
3,1,50,Bb7,False,
3,2,51,Bb7,False,
3,3,48,Bb7,False,
3,4,45,Bb7,False,
4,1,44,Bb7,True,51
4,2,47,Bb7,True,42
4,3,51,Bb7,False,
4,4,51,Bb7,False,
5,1,47,Bb-7,False,
5,2,49,Bb-7,False,
5,3,50,Eb7,False,
5,4,51,Eb7,False,
6,1,44,Bb-7,True,38
6,2,48,Bb-7,True,51
6,3,44,Eb7,True,51
6,4,44,Eb7,True,51
7,1,51,Ab6,False,
7,2,47,Ab6,False,
7,3,51,Ab6,False,
7,4,50,Ab6,True,51
8,1,51,Bb-7,False,
8,2,51,Eb7,False,
8,3,50,Ab6,False,
8,4,47,C7,False,
9,1,47,F7,False,
9,2,51,F7,False,
9,3,50,C7,True,44
9,4,51,C7,False,
10,1,47,F7,False,
10,2,44,F7,True,51
10,3,50,F7,False,
10,4,46,F7,True,51
11,1,50,Bb7,False,
11,2,46,Bb7,True,51
11,3,44,Bb7,False,
11,4,50,Bb7,False,
12,1,49,Bb7,False,
12,2,37,Bb7,False,
12,3,51,Bb7,False,
12,4,44,Bb7,False,
13,1,47,F-7,False,
13,2,47,F-7,True,51
13,3,51,C7,True,51
13,4,38,C7,False,
14,1,38,F-7,False,
14,2,50,F-7,False,
14,3,51,F-7,False,
14,4,51,F-7,True,50
15,1,51,C-7,False,
15,2,51,C-7,False,
15,3,51,F7,False,
15,4,48,F7,False,
16,1,40,Bb-7,False,
16,2,44,Eb7,True,50
16,3,51,Ab6,False,
16,4,46,C7,True,51
17,1,47,F7,False,
17,2,51,F7,False,
17,3,44,C7,False,
17,4,50,C7,True,51
18,1,47,F7,False,
18,2,51,F7,False,
18,3,50,F7,False,
18,4,48,F7,False,
19,1,51,Bb7,True,51
19,2,49,Bb7,True,51
19,3,44,Bb7,False,
19,4,49,Bb7,False,
20,1,48,Bb7,False,
20,2,37,Bb7,False,
20,3,51,Bb7,False,
20,4,51,Bb7,False,
21,1,47,Bb-7,False,
21,2,49,Bb-7,False,
21,3,44,Eb7,False,
21,4,44,Eb7,False,
22,1,38,Bb-7,False,
22,2,51,Bb-7,False,
22,3,51,Eb7,False,
22,4,51,Eb7,False,
23,1,47,Ab6,True,51
23,2,49,Ab6,False,
23,3,44,Ab6,True,51
23,4,46,Ab6,True,47
24,1,51,Bb-7,False,
24,2,51,Eb7,False,
24,3,51,Ab6,False,
24,4,46,C7,True,47
25,1,47,F7,False,
25,2,51,F7,False,
25,3,44,C7,False,
25,4,47,C7,False,
26,1,50,F7,True,51
26,2,51,F7,False,
26,3,49,F7,False,
26,4,51,F7,False,
27,1,48,Bb7,True,50
27,2,44,Bb7,True,51
27,3,51,Bb7,False,
27,4,51,Bb7,True,49
28,1,48,Bb7,False,
28,2,48,Bb7,False,
28,3,51,Bb7,False,
28,4,44,Bb7,False,
29,1,51,F-7,False,
29,2,47,F-7,True,37
29,3,51,C7,False,
29,4,51,C7,False,
30,1,46,F-7,True,51
30,2,51,F-7,False,
30,3,51,F-7,True,51
30,4,51,F-7,False,
31,1,51,C-7,False,
31,2,44,C-7,True,51
31,3,51,F7,False,
31,4,51,F7,True,47
32,1,49,Bb-7,True,40
32,2,51,Eb7,True,39
32,3,51,Ab6,False,
32,4,45,C7,True,51
33,1,46,F7,True,51
33,2,50,F7,True,51
33,3,44,F7,False,
33,4,47,F7,False,
