bar,beat,note,chord,replaced,original_value
1,1,51,Ab6,False,
1,2,37,Ab6,False,
1,3,50,Ab6,False,
1,4,51,Ab6,False,
2,1,43,Ab6,True,51
2,2,51,Ab6,False,
2,3,51,Ab6,False,
2,4,43,Ab6,True,43
3,1,41,Db7,True,44
3,2,48,Db7,False,
3,3,49,Db7,False,
3,4,41,Db7,True,50
4,1,39,Db7,True,50
4,2,39,Db7,True,50
4,3,50,Db7,False,
4,4,37,Db7,False,
5,1,48,Abj7,True,37
5,2,47,Abj7,True,50
5,3,41,Abj7,True,50
5,4,50,Abj7,False,
6,1,43,F-7,True,50
6,2,46,F-7,True,50
6,3,40,F-7,True,50
6,4,43,F-7,True,50
7,1,43,Bb-7,True,50
7,2,50,Bb-7,False,
7,3,50,Bb-7,False,
7,4,50,Bb-7,False,
8,1,38,Eb7,False,
8,2,50,Eb7,False,
8,3,50,Eb7,False,
8,4,50,Eb7,False,
9,1,50,Ab6,False,
9,2,50,Ab6,False,
9,3,45,Ab6,True,50
9,4,43,Ab6,True,50
10,1,42,Ab6,True,50
10,2,50,Ab6,False,
10,3,46,Ab6,True,50
10,4,50,Ab6,False,
11,1,44,Db7,False,
11,2,42,Db7,True,44
11,3,44,Db7,False,
11,4,44,Db7,False,
12,1,48,Db7,False,
12,2,48,Db7,False,
12,3,45,Db7,False,
12,4,45,Db7,False,
13,1,47,C-7,False,
13,2,42,C-7,False,
13,3,40,F-7,True,50
13,4,41,F-7,True,48
14,1,38,Bb-7,True,41
14,2,41,Bb-7,False,
14,3,46,Eb7,True,47
14,4,50,Eb7,False,
15,1,51,Abj7,False,
15,2,51,Abj7,False,
15,3,48,Abj7,False,
15,4,47,Abj7,True,50
16,1,50,Abj7,False,
16,2,46,Abj7,True,42
16,3,51,Abj7,True,42
16,4,51,Abj7,False,
17,1,39,G-7,True,50
17,2,37,G-7,False,
17,3,39,G-7,True,50
17,4,50,G-7,True,50
18,1,52,C7,True,50
18,2,48,C7,False,
18,3,47,C7,False,
18,4,50,C7,False,
19,1,52,F-7,True,49
19,2,51,F-7,False,
19,3,40,F-7,True,50
19,4,50,F-7,False,
20,1,49,F-7,True,50
20,2,50,F-7,False,
20,3,48,F-7,True,49
20,4,50,F-7,False,
21,1,50,Cm7b5,False,
21,2,42,Cm7b5,True,41
21,3,41,Cm7b5,False,
21,4,41,Cm7b5,False,
22,1,42,F7alt,False,
22,2,39,F7alt,True,48
22,3,51,F7alt,True,50
22,4,46,F7alt,True,40
23,1,42,Bb7,False,
23,2,42,Bb7,False,
23,3,47,Bb7,True,44
23,4,44,Bb7,False,
24,1,48,Eb7,True,47
24,2,50,Eb7,False,
24,3,43,Eb7,True,50
24,4,52,Eb7,True,50
25,1,37,Abj7,False,
25,2,45,Abj7,True,37
25,3,46,Abj7,True,50
25,4,50,Abj7,False,
26,1,42,Abj7,True,50
26,2,42,Abj7,True,50
26,3,42,Abj7,True,50
26,4,50,Abj7,False,
27,1,50,Db7,False,
27,2,50,Db7,False,
27,3,50,Db7,False,
27,4,46,Db7,True,42
28,1,50,Db7,False,
28,2,42,Db7,True,50
28,3,42,Db7,True,38
28,4,38,Db7,True,50
29,1,50,C-7,False,
29,2,42,C-7,False,
29,3,46,F-7,True,48
29,4,52,F-7,True,51
30,1,40,Bb-7,True,50
30,2,44,Bb-7,True,50
30,3,45,Eb7,True,50
30,4,50,Eb7,False,
31,1,50,Ab6,False,
31,2,49,Ab6,True,50
31,3,50,Ab6,False,
31,4,48,Ab6,False,
32,1,40,Bb-7,True,50
32,2,48,Bb-7,True,45
32,3,43,Eb7,True,42
32,4,39,Eb7,True,50
33,1,49,Ab6,True,51
33,2,51,Ab6,False,
33,3,51,Ab6,False,
33,4,49,Ab6,True,51
34,1,46,Ab6,True,51
34,2,41,Ab6,True,51
34,3,41,Ab6,True,51
34,4,50,Ab6,False,
35,1,39,Db7,True,44
35,2,50,Db7,True,44
35,3,38,Db7,True,44
35,4,44,Db7,False,
36,1,44,Db7,False,
36,2,43,Db7,True,44
36,3,48,Db7,False,
36,4,45,Db7,False,
37,1,42,Abj7,False,
37,2,42,Abj7,False,
37,3,38,Abj7,True,44
37,4,44,Abj7,False,
38,1,46,Abj7,True,43
38,2,49,Abj7,True,50
38,3,49,Abj7,False,
38,4,37,Abj7,False,
39,1,38,Bb-7,True,50
39,2,45,Bb-7,False,
39,3,38,Bb-7,True,50
39,4,48,Bb-7,False,
40,1,45,Eb7,False,
40,2,47,Eb7,False,
40,3,42,Eb7,True,48
40,4,39,Eb7,True,50
41,1,41,Abj7,True,50
41,2,44,Abj7,True,50
41,3,50,Abj7,False,
41,4,42,Abj7,True,50
42,1,50,Abj7,False,
42,2,50,Abj7,False,
42,3,50,Abj7,False,
42,4,50,Abj7,False,
43,1,40,Db7,True,50
43,2,46,Db7,True,48
43,3,51,Db7,False,
43,4,43,Db7,True,50
44,1,41,Db7,True,50
44,2,42,Db7,False,
44,3,50,Db7,False,
